AlbumId,AlbumTitle,ArtistId,ArtistName,TrackId,TrackName,MediaTypeId,GenreId,Composer,Milliseconds,Bytes,TrackUnitPrice,PlaylistId,MediaTypeName,GenreName,InvoiceLineId,InvoiceId,Quantity,CustomerId,InvoiceDate,BillingAddress,BillingCity,BillingState,BillingCountry,BillingPostalCode,Total,CustomersFirstName,CustomerLastName,Company,CustomersPhone,CustomersFax,CustomersEmail,EmployeeId,EmployeeLastName,EmployeeFirstName,EmployeeTitle,ReportsTo,BirthDate,HireDate,EmployeeAddress,EmployeeCity,EmployeePostalCode,Phone,Fax,Email
1,For Those About To Rock We Salute You,1,AC/DC,1,For Those About To Rock (We Salute You),1,1,"Angus Young, Malcolm Young, Brian Johnson",343719,11170334,0.99,1,MPEG audio file,Rock,579,108,1,47,2010-04-13 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,5.94,Lucas,Mancini,,+39 06 39733434,,lucas.mancini@yahoo.it,5,Johnson,Steve,Sales Support Agent,2.0,1965-03-03 00:00:00,2003-10-17 00:00:00,7727B 41 Ave,Calgary,T3B 1Y7,1 (780) 836-9987,1 (780) 836-9543,steve@chinookcorp.com
1,For Those About To Rock We Salute You,1,AC/DC,1,For Those About To Rock (We Salute You),1,1,"Angus Young, Malcolm Young, Brian Johnson",343719,11170334,0.99,8,MPEG audio file,Rock,579,108,1,47,2010-04-13 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,5.94,Lucas,Mancini,,+39 06 39733434,,lucas.mancini@yahoo.it,5,Johnson,Steve,Sales Support Agent,2.0,1965-03-03 00:00:00,2003-10-17 00:00:00,7727B 41 Ave,Calgary,T3B 1Y7,1 (780) 836-9987,1 (780) 836-9543,steve@chinookcorp.com
1,For Those About To Rock We Salute You,1,AC/DC,1,For Those About To Rock (We Salute You),1,1,"Angus Young, Malcolm Young, Brian Johnson",343719,11170334,0.99,17,MPEG audio file,Rock,579,108,1,47,2010-04-13 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,5.94,Lucas,Mancini,,+39 06 39733434,,lucas.mancini@yahoo.it,5,Johnson,Steve,Sales Support Agent,2.0,1965-03-03 00:00:00,2003-10-17 00:00:00,7727B 41 Ave,Calgary,T3B 1Y7,1 (780) 836-9987,1 (780) 836-9543,steve@chinookcorp.com
1,For Those About To Rock We Salute You,1,AC/DC,9,Snowballed,1,1,"Angus Young, Malcolm Young, Brian Johnson",203102,6599424,0.99,1,MPEG audio file,Rock,581,108,1,47,2010-04-13 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,5.94,Lucas,Mancini,,+39 06 39733434,,lucas.mancini@yahoo.it,5,Johnson,Steve,Sales Support Agent,2.0,1965-03-03 00:00:00,2003-10-17 00:00:00,7727B 41 Ave,Calgary,T3B 1Y7,1 (780) 836-9987,1 (780) 836-9543,steve@chinookcorp.com
1,For Those About To Rock We Salute You,1,AC/DC,9,Snowballed,1,1,"Angus Young, Malcolm Young, Brian Johnson",203102,6599424,0.99,8,MPEG audio file,Rock,581,108,1,47,2010-04-13 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,5.94,Lucas,Mancini,,+39 06 39733434,,lucas.mancini@yahoo.it,5,Johnson,Steve,Sales Support Agent,2.0,1965-03-03 00:00:00,2003-10-17 00:00:00,7727B 41 Ave,Calgary,T3B 1Y7,1 (780) 836-9987,1 (780) 836-9543,steve@chinookcorp.com
1,For Those About To Rock We Salute You,1,AC/DC,13,Night Of The Long Knives,1,1,"Angus Young, Malcolm Young, Brian Johnson",205688,6706347,0.99,1,MPEG audio file,Rock,582,108,1,47,2010-04-13 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,5.94,Lucas,Mancini,,+39 06 39733434,,lucas.mancini@yahoo.it,5,Johnson,Steve,Sales Support Agent,2.0,1965-03-03 00:00:00,2003-10-17 00:00:00,7727B 41 Ave,Calgary,T3B 1Y7,1 (780) 836-9987,1 (780) 836-9543,steve@chinookcorp.com
1,For Those About To Rock We Salute You,1,AC/DC,13,Night Of The Long Knives,1,1,"Angus Young, Malcolm Young, Brian Johnson",205688,6706347,0.99,8,MPEG audio file,Rock,582,108,1,47,2010-04-13 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,5.94,Lucas,Mancini,,+39 06 39733434,,lucas.mancini@yahoo.it,5,Johnson,Steve,Sales Support Agent,2.0,1965-03-03 00:00:00,2003-10-17 00:00:00,7727B 41 Ave,Calgary,T3B 1Y7,1 (780) 836-9987,1 (780) 836-9543,steve@chinookcorp.com
3,Restless and Wild,2,Accept,5,Princess of the Dawn,2,1,Deaffy & R.A. Smith-Diesel,375418,6290521,0.99,1,Protected AAC audio file,Rock,580,108,1,47,2010-04-13 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,5.94,Lucas,Mancini,,+39 06 39733434,,lucas.mancini@yahoo.it,5,Johnson,Steve,Sales Support Agent,2.0,1965-03-03 00:00:00,2003-10-17 00:00:00,7727B 41 Ave,Calgary,T3B 1Y7,1 (780) 836-9987,1 (780) 836-9543,steve@chinookcorp.com
3,Restless and Wild,2,Accept,5,Princess of the Dawn,2,1,Deaffy & R.A. Smith-Diesel,375418,6290521,0.99,5,Protected AAC audio file,Rock,580,108,1,47,2010-04-13 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,5.94,Lucas,Mancini,,+39 06 39733434,,lucas.mancini@yahoo.it,5,Johnson,Steve,Sales Support Agent,2.0,1965-03-03 00:00:00,2003-10-17 00:00:00,7727B 41 Ave,Calgary,T3B 1Y7,1 (780) 836-9987,1 (780) 836-9543,steve@chinookcorp.com
3,Restless and Wild,2,Accept,5,Princess of the Dawn,2,1,Deaffy & R.A. Smith-Diesel,375418,6290521,0.99,8,Protected AAC audio file,Rock,580,108,1,47,2010-04-13 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,5.94,Lucas,Mancini,,+39 06 39733434,,lucas.mancini@yahoo.it,5,Johnson,Steve,Sales Support Agent,2.0,1965-03-03 00:00:00,2003-10-17 00:00:00,7727B 41 Ave,Calgary,T3B 1Y7,1 (780) 836-9987,1 (780) 836-9543,steve@chinookcorp.com
3,Restless and Wild,2,Accept,5,Princess of the Dawn,2,1,Deaffy & R.A. Smith-Diesel,375418,6290521,0.99,17,Protected AAC audio file,Rock,580,108,1,47,2010-04-13 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,5.94,Lucas,Mancini,,+39 06 39733434,,lucas.mancini@yahoo.it,5,Johnson,Steve,Sales Support Agent,2.0,1965-03-03 00:00:00,2003-10-17 00:00:00,7727B 41 Ave,Calgary,T3B 1Y7,1 (780) 836-9987,1 (780) 836-9543,steve@chinookcorp.com
344,Schubert: The Late String Quartets & String Quintet (3 CD's),272,Emerson String Quartet,3500,"String Quartet No. 12 in C Minor, D. 703 ""Quartettsatz"": II. Andante - Allegro assai",2,24,Franz Schubert,139200,2283131,0.99,1,Protected AAC audio file,Classical,578,108,1,47,2010-04-13 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,5.94,Lucas,Mancini,,+39 06 39733434,,lucas.mancini@yahoo.it,5,Johnson,Steve,Sales Support Agent,2.0,1965-03-03 00:00:00,2003-10-17 00:00:00,7727B 41 Ave,Calgary,T3B 1Y7,1 (780) 836-9987,1 (780) 836-9543,steve@chinookcorp.com
